# pack	reading	output	dataset	category
geography	ah	凹湖	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ah	澳花	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ahgy	安和公園	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ahljlctzxcd	愛河連接蓮池潭自行車道	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ahlsd	安和路三段	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ahpb	澳花瀑布	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ahpb	阿花瀑布	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ahq	安和橋	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ahs	澳花山	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ahzx	愛河之心	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ahzxjgq	愛河之心景觀橋	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ai'ai'shan'lu'xian	唉唉山路線	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ai'ai'shan'yi'si'yi'zhi	唉唉山疑似遺址	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ai'de'xiao'lu	愛的小路	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ai'guo'pu	愛國蒲	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ai'he	愛河	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ai'he'lian'jie'lian'chi'tan'zi'xing'che'dao	愛河連接蓮池潭自行車道	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ai'he'zhi'xin	愛河之心	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ai'he'zhi'xin'jing'guan'qiao	愛河之心景觀橋	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ai'jie	隘界	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ai'jiu'lu	愛九路	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ai'kou	隘口	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ai'kou'er'hao'ti'fang	隘口二號堤防	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ai'kou'li	隘口里	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ai'kou'liao	隘口寮	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ai'kou'pai'shui	隘口排水	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ai'liao	隘寮	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ai'liao'ding	隘寮頂	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ai'liao'gou	隘寮溝	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ai'liao'keng	隘寮坑	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ai'liao'ping	隘寮坪	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ai'liao'xi	隘寮溪	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ai'liao'xi'pai'shui	隘寮溪排水	rudy-2026.09.03:mcbopomofo-derived	geography_history
