# kind	reading	output	frequency_rank	source
kanji	a'za'na	字	485	kanjidic:U5B57
kanji	ba	場	52	kanjidic:U5834
kanji	ba'i	売	202	kanjidic:U58F2
kanji	ba'n	万	375	kanjidic:U4E07
kanji	ba'n	判	197	kanjidic:U5224
kanji	ba'n	番	348	kanjidic:U756A
kanji	ba'tsu	末	456	kanjidic:U672B
kanji	be'i	米	61	kanjidic:U7C73
kanji	be'n	面	186	kanjidic:U9762
kanji	be'tsu	別	214	kanjidic:U5225
kanji	bi	備	356	kanjidic:U5099
kanji	bi	美	462	kanjidic:U7F8E
kanji	bo'chi	点	165	kanjidic:U70B9
kanji	bo'ku	木	317	kanjidic:U6728
kanji	bo'ku	目	76	kanjidic:U76EE
kanji	bo'u	望	470	kanjidic:U671B
kanji	bo'u	防	331	kanjidic:U9632
kanji	bu	不	101	kanjidic:U4E0D
kanji	bu	分	24	kanjidic:U5206
kanji	bu	夫	335	kanjidic:U592B
kanji	bu	武	387	kanjidic:U6B66
kanji	bu	無	274	kanjidic:U7121
kanji	bu	部	36	kanjidic:U90E8
kanji	bu'n	分	24	kanjidic:U5206
kanji	bu'n	文	190	kanjidic:U6587
kanji	bu'n	聞	319	kanjidic:U805E
kanji	bu'tsu	物	215	kanjidic:U7269
kanji	bya'ku	白	483	kanjidic:U767D
kanji	bya'ku	百	163	kanjidic:U767E
kanji	byo'u	平	128	kanjidic:U5E73
kanji	byo'u	病	384	kanjidic:U75C5
kanji	cha'ku	着	376	kanjidic:U7740
kanji	chi	千	195	kanjidic:U5343
kanji	chi	地	40	kanjidic:U5730
kanji	chi	治	109	kanjidic:U6CBB
kanji	chi	知	205	kanjidic:U77E5
kanji	chi	置	277	kanjidic:U7F6E
kanji	chi	質	389	kanjidic:U8CEA
kanji	chi'ka'ra	力	62	kanjidic:U529B
kanji	cho'ku	直	246	kanjidic:U76F4
kanji	cho'u	場	52	kanjidic:U5834
kanji	cho'u	張	403	kanjidic:U5F35
kanji	cho'u	提	254	kanjidic:U63D0
kanji	cho'u	朝	248	kanjidic:U671D
kanji	cho'u	条	363	kanjidic:U6761
kanji	cho'u	町	292	kanjidic:U753A
kanji	cho'u	調	87	kanjidic:U8ABF
kanji	cho'u	重	193	kanjidic:U91CD
kanji	cho'u	長	12	kanjidic:U9577
kanji	chu'u	中	11	kanjidic:U4E2D
kanji	chu'u	住	270	kanjidic:U4F4F
kanji	chu'u	注	497	kanjidic:U6CE8
kanji	da	打	239	kanjidic:U6253
kanji	da	達	500	kanjidic:U9054
kanji	da'i	代	66	kanjidic:U4EE3
kanji	da'i	内	44	kanjidic:U5185
kanji	da'i	台	262	kanjidic:U53F0
kanji	da'i	大	7	kanjidic:U5927
kanji	da'i	提	254	kanjidic:U63D0
kanji	da'i	第	160	kanjidic:U7B2C
kanji	da'i	題	96	kanjidic:U984C
kanji	da'n	団	213	kanjidic:U56E3
kanji	da'n	断	338	kanjidic:U65AD
kanji	da'n	段	479	kanjidic:U6BB5
kanji	da'n	男	240	kanjidic:U7537
kanji	da'n	談	272	kanjidic:U8AC7
kanji	de'ki	条	363	kanjidic:U6761
kanji	de'n	伝	416	kanjidic:U4F1D
kanji	de'n	田	90	kanjidic:U7530
kanji	de'n	電	268	kanjidic:U96FB
kanji	do	土	307	kanjidic:U571F
kanji	do	度	110	kanjidic:U5EA6
kanji	do'ko'ro	所	221	kanjidic:U6240
kanji	do'ku	独	365	kanjidic:U72EC
kanji	do'u	働	417	kanjidic:U50CD
kanji	do'u	動	73	kanjidic:U52D5
kanji	do'u	同	15	kanjidic:U540C
kanji	do'u	導	354	kanjidic:U5C0E
kanji	do'u	脳	459	kanjidic:U8133
kanji	do'u	藤	291	kanjidic:U85E4
kanji	do'u	道	207	kanjidic:U9053
kanji	e	会	4	kanjidic:U4F1A
kanji	e	回	50	kanjidic:U56DE
kanji	e	画	199	kanjidic:U753B
kanji	e	衛	400	kanjidic:U885B
kanji	e	重	193	kanjidic:U91CD
kanji	e'da	条	363	kanjidic:U6761
kanji	e'i	営	303	kanjidic:U55B6
kanji	e'i	影	464	kanjidic:U5F71
kanji	e'i	映	404	kanjidic:U6620
kanji	e'i	英	430	kanjidic:U82F1
kanji	e'i	衛	400	kanjidic:U885B
kanji	e'ki	役	315	kanjidic:U5F79
kanji	e'n	円	69	kanjidic:U5186
kanji	e'n	援	312	kanjidic:U63F4
kanji	e'n	演	267	kanjidic:U6F14
kanji	e'ri	領	138	kanjidic:U9818
kanji	fu	不	101	kanjidic:U4E0D
kanji	fu	付	322	kanjidic:U4ED8
kanji	fu	夫	335	kanjidic:U592B
kanji	fu	府	170	kanjidic:U5E9C
kanji	fu	負	443	kanjidic:U8CA0
kanji	fu'ji	藤	291	kanjidic:U85E4
kanji	fu'ku	副	360	kanjidic:U526F
kanji	fu'ku	復	438	kanjidic:U5FA9
kanji	fu'ku	福	467	kanjidic:U798F
kanji	fu'mi	文	190	kanjidic:U6587
kanji	fu'n	分	24	kanjidic:U5206
kanji	fu'ra'n	法	100	kanjidic:U6CD5
kanji	fu'sa	総	129	kanjidic:U7DCF
kanji	fu'ta	二	9	kanjidic:U4E8C
kanji	fu'ta'ta'bi	二	9	kanjidic:U4E8C
kanji	fu'ta'tsu	両	247	kanjidic:U4E21
kanji	fu'u	夫	335	kanjidic:U592B
kanji	ga	合	41	kanjidic:U5408
kanji	ga	画	199	kanjidic:U753B
kanji	ga'i	外	81	kanjidic:U5916
kanji	ga'i	害	358	kanjidic:U5BB3
kanji	ga'ku	学	63	kanjidic:U5B66
kanji	ga'ku	楽	373	kanjidic:U697D
kanji	ga'ku	額	407	kanjidic:U984D
kanji	ga'n	元	192	kanjidic:U5143
kanji	ga'n	含	466	kanjidic:U542B
kanji	ga'tsu	月	23	kanjidic:U6708
kanji	ga'wa	側	216	kanjidic:U5074
kanji	ge	下	97	kanjidic:U4E0B
kanji	ge	外	81	kanjidic:U5916
kanji	ge	解	176	kanjidic:U89E3
kanji	ge'ki	撃	473	kanjidic:U6483
kanji	ge'n	元	192	kanjidic:U5143
kanji	ge'n	原	172	kanjidic:U539F
kanji	ge'n	減	261	kanjidic:U6E1B
kanji	ge'n	現	85	kanjidic:U73FE
kanji	ge'n	言	83	kanjidic:U8A00
kanji	ge'n	限	405	kanjidic:U9650
kanji	ge'n	験	410	kanjidic:U9A13
