# pack	reading	output	source	category
japanese	a'ga'ru	上がる	jmdict:1352290	everyday_expressions
japanese	a'ga'sa'ku'ri'su'te'i	アガサクリスティ	jmnedict:5008917	taiwan_and_culture
japanese	a'ga'tta'ri	あがったり	jmdict:1352180	everyday_vocabulary
japanese	a'ga'tta'ri	上がったり	jmdict:1352180	everyday_vocabulary
japanese	a'ge	あげ	jmdict:1352300	everyday_vocabulary
japanese	a'ge	あげ	jmdict:1545490	everyday_vocabulary
japanese	a'ge	上げ	jmdict:1352300	everyday_vocabulary
japanese	a'ge	揚げ	jmdict:1545490	everyday_vocabulary
japanese	a'ge'ku	あげく	jmdict:1586290	everyday_vocabulary
japanese	a'ge'ku	挙句	jmdict:1586290	everyday_vocabulary
japanese	a'ge'ru	あげる	jmdict:1352320	everyday_vocabulary
japanese	a'ge'ru	上げる	jmdict:1352320	everyday_vocabulary
japanese	a'go	あご	jmdict:1207560	everyday_vocabulary
japanese	a'go	顎	jmdict:1207560	everyday_vocabulary
japanese	a'gu'ra	あぐら	jmdict:1267520	everyday_vocabulary
japanese	a'gu'ra	胡坐	jmdict:1267520	everyday_vocabulary
japanese	a'gu're'sshi'bu	アグレッシブ	jmdict:1015570	everyday_vocabulary
japanese	a'hi'ru	アヒル	jmdict:1191810	everyday_vocabulary
japanese	a'ho	あほ	jmdict:1586600	everyday_vocabulary
japanese	a'ho	アホ	jmdict:1586600	everyday_vocabulary
japanese	a'ho	阿呆	jmdict:1586600	everyday_vocabulary
japanese	a'i	あい	jmdict:1150410	everyday_vocabulary
japanese	a'i	あい	jmdict:1549400	everyday_vocabulary
japanese	a'i	愛	jmdict:1150410	everyday_vocabulary
japanese	a'i	藍	jmdict:1549400	everyday_vocabulary
japanese	a'i'a'i'ba'ka'ma	あいあいばかま	jmnedict:5476666	taiwan_and_culture
japanese	a'i'a'i'ba'ka'ma	相合袴	jmnedict:5476666	taiwan_and_culture
japanese	a'i'a'n'ma'n	アイアンマン	jmnedict:5745136	taiwan_and_culture
japanese	a'i'bo'ri'i	アイボリー	jmdict:1014500	everyday_vocabulary
japanese	a'i'bo'u	あいぼう	jmdict:1401350	everyday_vocabulary
japanese	a'i'bo'u	相棒	jmdict:1401350	everyday_vocabulary
japanese	a'i'cha'ku	あいちゃく	jmdict:1575680	everyday_vocabulary
japanese	a'i'cha'ku	愛着	jmdict:1575680	everyday_vocabulary
japanese	a'i'da	あいだ	jmdict:1215230	everyday_vocabulary
japanese	a'i'da	間	jmdict:1215230	everyday_vocabulary
japanese	a'i'da'ga'ra	あいだがら	jmdict:1215660	everyday_vocabulary
japanese	a'i'da'ga'ra	間柄	jmdict:1215660	everyday_vocabulary
japanese	a'i'da'ju'u	あいだじゅう	jmdict:1215610	everyday_vocabulary
japanese	a'i'da'ju'u	間中	jmdict:1215610	everyday_vocabulary
japanese	a'i'de'a	アイデア	jmdict:1014210	everyday_vocabulary
japanese	a'i'de'i'a	アイディア	jmdict:1014210	everyday_vocabulary
japanese	a'i'de'n'te'i'te'i	アイデンティティ	jmdict:1014270	everyday_vocabulary
japanese	a'i'de'n'te'i'te'i'i	アイデンティティー	jmdict:1014270	everyday_vocabulary
japanese	a'i'do'ku	あいどく	jmdict:1150990	everyday_vocabulary
japanese	a'i'do'ku	愛読	jmdict:1150990	everyday_vocabulary
japanese	a'i'do'ru	アイドル	jmdict:1014340	everyday_vocabulary
japanese	a'i'go	あいご	jmdict:1150670	everyday_vocabulary
japanese	a'i'go	愛護	jmdict:1150670	everyday_vocabulary
japanese	a'i'ha'ra'ko'o'ji	あいはらコージ	jmnedict:5476616	taiwan_and_culture
japanese	a'i'ha'ra'ko'o'ji	相原コージ	jmnedict:5476616	taiwan_and_culture
japanese	a'i'ji'n	あいじん	jmdict:1150870	everyday_vocabulary
japanese	a'i'ji'n	愛人	jmdict:1150870	everyday_vocabulary
japanese	a'i'jo'u	あいじょう	jmdict:1150860	everyday_vocabulary
japanese	a'i'jo'u	愛情	jmdict:1150860	everyday_vocabulary
japanese	a'i'ka'wa'ra'zu	あいかわらず	jmdict:1401310	everyday_vocabulary
japanese	a'i'ka'wa'ra'zu	相変わらず	jmdict:1401310	everyday_vocabulary
japanese	a'i'ke'n	あいけん	jmdict:1150640	everyday_vocabulary
japanese	a'i'ke'n	愛犬	jmdict:1150640	everyday_vocabulary
japanese	a'i'ko'ku	あいこく	jmdict:1150710	everyday_vocabulary
japanese	a'i'ko'ku	愛国	jmdict:1150710	everyday_vocabulary
japanese	a'i'ko'n	アイコン	jmdict:1013920	everyday_vocabulary
japanese	a'i'ko'to'ba	あいことば	jmdict:1586060	everyday_vocabulary
japanese	a'i'ko'to'ba	合言葉	jmdict:1586060	everyday_vocabulary
japanese	a'i'ko'u	あいこう	jmdict:1150680	everyday_vocabulary
japanese	a'i'ko'u	愛好	jmdict:1150680	everyday_vocabulary
japanese	a'i'kyo'u	あいきょう	jmdict:1150620	everyday_vocabulary
japanese	a'i'kyo'u	愛嬌	jmdict:1150620	everyday_vocabulary
japanese	a'i'ma	あいま	jmdict:1284670	everyday_vocabulary
japanese	a'i'ma	合間	jmdict:1284670	everyday_vocabulary
japanese	a'i'ma'i	あいまい	jmdict:1567920	everyday_vocabulary
japanese	a'i'ma'i	曖昧	jmdict:1567920	everyday_vocabulary
japanese	a'i'ma'tte	あいまって	jmdict:1749070	everyday_vocabulary
japanese	a'i'ma'tte	相まって	jmdict:1749070	everyday_vocabulary
japanese	a'i'ne'ku	アイネク	jmnedict:5740971	taiwan_and_culture
japanese	a'i'ne'ku'ra'i'ne'na'ha'to'mu'ji'i'ku	アイネクライネナハトムジーク	jmnedict:5008619	taiwan_and_culture
japanese	a'i'ni'ku	あいにく	jmdict:1379210	everyday_vocabulary
japanese	a'i'ni'ku	生憎	jmdict:1379210	everyday_vocabulary
japanese	a'i'no'ri	あいのり	jmdict:1586110	everyday_vocabulary
japanese	a'i'no'ri	相乗り	jmdict:1586110	everyday_vocabulary
japanese	a'i'no'sa'n'ka	あいのさんか	jmnedict:5102796	taiwan_and_culture
japanese	a'i'no'sa'n'ka	愛の賛歌	jmnedict:5102796	taiwan_and_culture
japanese	a'i'no'sa'to	あいのさと	jmnedict:5000109	taiwan_and_culture
japanese	a'i'no'sa'to	あいの里	jmnedict:5000109	taiwan_and_culture
japanese	a'i'no'sho'u'ri	あいのしょうり	jmnedict:5102798	taiwan_and_culture
japanese	a'i'no'sho'u'ri	愛の勝利	jmnedict:5102798	taiwan_and_culture
japanese	a'i'no'u'sho'u	あいのうしょう	jmnedict:5741265	taiwan_and_culture
japanese	a'i'no'u'sho'u	あいのうしょう	jmnedict:5741266	taiwan_and_culture
japanese	a'i'no'u'sho'u	あい嚢鈔	jmnedict:5741266	taiwan_and_culture
japanese	a'i'no'u'sho'u	壒嚢鈔	jmnedict:5741265	taiwan_and_culture
japanese	a'i'nu	アイヌ	jmdict:1014390	everyday_vocabulary
japanese	a'i'ri'su	アイリス	jmdict:1014550	everyday_vocabulary
japanese	a'i'ro'n	アイロン	jmdict:1014590	everyday_vocabulary
japanese	a'i'sa'tsu	あいさつ	jmdict:1151120	everyday_expressions
japanese	a'i'sa'tsu	挨拶	jmdict:1151120	everyday_expressions
japanese	a'i'sha'do'u	アイシャドウ	jmdict:1013940	everyday_vocabulary
japanese	a'i'sho'u	あいしょう	jmdict:1150840	everyday_vocabulary
japanese	a'i'sho'u	あいしょう	jmdict:1586070	everyday_vocabulary
japanese	a'i'sho'u	愛称	jmdict:1150840	everyday_vocabulary
japanese	a'i'sho'u	相性	jmdict:1586070	everyday_vocabulary
japanese	a'i'shu'u	あいしゅう	jmdict:1150260	everyday_vocabulary
japanese	a'i'shu'u	哀愁	jmdict:1150260	everyday_vocabulary
japanese	a'i'so	あいそ	jmdict:1575660	everyday_vocabulary
japanese	a'i'so	愛想	jmdict:1575660	everyday_vocabulary
japanese	a'i'so'u	あいそう	jmdict:1575660	everyday_vocabulary
japanese	a'i'so'u	愛想	jmdict:1575660	everyday_vocabulary
japanese	a'i'su	あいす	jmdict:2408840	everyday_vocabulary
japanese	a'i'su	アイス	jmdict:1013970	everyday_vocabulary
japanese	a'i'su	愛す	jmdict:2408840	everyday_vocabulary
japanese	a'i'su'ho'kke'e	アイスホッケー	jmdict:1014060	everyday_vocabulary
japanese	a'i'su'ko'o'hi'i	アイスコーヒー	jmdict:1610760	everyday_vocabulary
japanese	a'i'su'ku'ri'i'mu	アイスクリーム	jmdict:1013980	everyday_vocabulary
japanese	a'i'su'ru	あいする	jmdict:1150450	everyday_vocabulary
japanese	a'i'su'ru	愛する	jmdict:1150450	everyday_vocabulary
japanese	a'i'ta'i	あいたい	jmdict:1401100	everyday_vocabulary
japanese	a'i'ta'i	相対	jmdict:1401100	everyday_vocabulary
japanese	a'i'te	あいて	jmdict:1401000	everyday_vocabulary
japanese	a'i'te	相手	jmdict:1401000	everyday_vocabulary
japanese	a'i'te'do'ru	あいてどる	jmdict:1847970	everyday_expressions
japanese	a'i'te'do'ru	相手取る	jmdict:1847970	everyday_expressions
japanese	a'i'te'ka'ta	あいてかた	jmdict:1401030	everyday_vocabulary
japanese	a'i'te'ka'ta	相手方	jmdict:1401030	everyday_vocabulary
japanese	a'i'te'mu	アイテム	jmdict:1014200	everyday_vocabulary
japanese	a'i'to'u	あいとう	jmdict:1150350	everyday_vocabulary
japanese	a'i'to'u	哀悼	jmdict:1150350	everyday_vocabulary
japanese	a'i'tsu	あいつ	jmdict:1483160	everyday_vocabulary
japanese	a'i'tsu'gu	あいつぐ	jmdict:1400980	everyday_vocabulary
japanese	a'i'tsu'gu	相次ぐ	jmdict:1400980	everyday_vocabulary
japanese	a'i'tsu'ra	あいつら	jmdict:1985390	everyday_vocabulary
japanese	a'i'vu'a'n'ho'o	アイヴァンホー	jmnedict:5008750	taiwan_and_culture
japanese	a'i'yo'u	あいよう	jmdict:1151090	everyday_vocabulary
japanese	a'i'yo'u	愛用	jmdict:1151090	everyday_vocabulary
japanese	a'i'za'kku'ba'she'vyi'su'shi'n'ga'a	アイザックバシェヴィスシンガー	jmnedict:5008515	taiwan_and_culture
japanese	a'i'zo'u	あいぞう	jmdict:1575670	everyday_vocabulary
japanese	a'i'zo'u	愛憎	jmdict:1575670	everyday_vocabulary
japanese	a'i'zu	あいず	jmdict:1284930	everyday_vocabulary
japanese	a'i'zu	合図	jmdict:1284930	everyday_vocabulary
japanese	a'i'zu'chi	あいづち	jmdict:1401220	everyday_vocabulary
japanese	a'i'zu'chi	相槌	jmdict:1401220	everyday_vocabulary
japanese	a'ji	あじ	jmdict:1526960	everyday_vocabulary
japanese	a'ji	あじ	jmdict:1586400	everyday_vocabulary
japanese	a'ji	味	jmdict:1526960	everyday_vocabulary
japanese	a'ji	鯵	jmdict:1586400	everyday_vocabulary
japanese	a'ji'a	アジア	jmdict:1015840	everyday_vocabulary
japanese	a'ji'a'ji'n	アジアじん	jmdict:2838845	everyday_vocabulary
japanese	a'ji'a'ji'n	アジア人	jmdict:2838845	everyday_vocabulary
japanese	a'ji'ke'na'i	あじけない	jmdict:1584580	everyday_vocabulary
japanese	a'ji'ke'na'i	味気ない	jmdict:1584580	everyday_vocabulary
japanese	a'ji'no'mo'to	あじのもと	jmdict:1526990	everyday_vocabulary
japanese	a'ji'no'mo'to	味の素	jmdict:1526990	everyday_vocabulary
japanese	a'ji'sa'i	あじさい	jmdict:1311730	everyday_vocabulary
japanese	a'ji'sa'i	紫陽花	jmdict:1311730	everyday_vocabulary
japanese	a'ji'to	アジト	jmdict:1015890	everyday_vocabulary
japanese	a'ji'tsu'ke	あじつけ	jmdict:1526980	everyday_vocabulary
japanese	a'ji'tsu'ke	味付け	jmdict:1526980	everyday_vocabulary
japanese	a'ji'wa'i	あじわい	jmdict:1527000	everyday_vocabulary
japanese	a'ji'wa'i	味わい	jmdict:1527000	everyday_vocabulary
japanese	a'ji'wa'u	あじわう	jmdict:1527010	everyday_vocabulary
japanese	a'ji'wa'u	味わう	jmdict:1527010	everyday_vocabulary
japanese	a'ka	あか	jmdict:1277420	everyday_vocabulary
japanese	a'ka	あか	jmdict:2013900	everyday_vocabulary
japanese	a'ka	垢	jmdict:1277420	everyday_vocabulary
japanese	a'ka	赤	jmdict:2013900	everyday_vocabulary
japanese	a'ka'cha'n	あかちゃん	jmdict:1383260	everyday_vocabulary
japanese	a'ka'cha'n	赤ちゃん	jmdict:1383260	everyday_vocabulary
japanese	a'ka'de'mi'i	アカデミー	jmdict:1014990	everyday_vocabulary
japanese	a'ka'de'mi'i'sho'u	アカデミーしょう	jmdict:1612990	everyday_vocabulary
japanese	a'ka'de'mi'i'sho'u	アカデミー賞	jmdict:1612990	everyday_vocabulary
japanese	a'ka'de'mi'kku	アカデミック	jmdict:1015030	everyday_vocabulary
japanese	a'ka'ge'no'a'n	あかげのアン	jmnedict:5457112	taiwan_and_culture
japanese	a'ka'ge'no'a'n	赤毛のアン	jmnedict:5457112	taiwan_and_culture
japanese	a'ka'ge'tto'ga'i'yu'u'ki	あかげっとがいゆうき	jmnedict:5457114	taiwan_and_culture
japanese	a'ka'ge'tto'ga'i'yu'u'ki	赤毛布外遊記	jmnedict:5457114	taiwan_and_culture
japanese	a'ka'ha'ta	あかはた	jmdict:1621630	everyday_vocabulary
japanese	a'ka'ha'ta	赤旗	jmdict:1621630	everyday_vocabulary
japanese	a'ka'i	あかい	jmdict:1383240	everyday_vocabulary
japanese	a'ka'i	赤い	jmdict:1383240	everyday_vocabulary
japanese	a'ka'i'ro	あかいろ	jmdict:1580940	everyday_vocabulary
japanese	a'ka'i'ro	赤色	jmdict:1580940	everyday_vocabulary
japanese	a'ka'ji	あかじ	jmdict:1383440	everyday_vocabulary
japanese	a'ka'ji	赤字	jmdict:1383440	everyday_vocabulary
japanese	a'ka'ma'tsu	あかまつ	jmdict:1829120	everyday_vocabulary
japanese	a'ka'ma'tsu	赤松	jmdict:1829120	everyday_vocabulary
japanese	a'ka'n'bo'u	あかんぼう	jmdict:1383310	everyday_vocabulary
japanese	a'ka'n'bo'u	赤ん坊	jmdict:1383310	everyday_vocabulary
japanese	a'ka'ri	あかり	jmdict:1586210	everyday_vocabulary
japanese	a'ka'ri	明かり	jmdict:1586210	everyday_vocabulary
japanese	a'ka'ri	灯り	jmdict:1586210	everyday_vocabulary
japanese	a'ka'ru'i	あかるい	jmdict:1532350	everyday_vocabulary
japanese	a'ka'ru'i	明るい	jmdict:1532350	everyday_vocabulary
japanese	a'ka'shi	あかし	jmdict:1351580	everyday_vocabulary
japanese	a'ka'shi	証	jmdict:1351580	everyday_vocabulary
japanese	a'ka'shi'n'go'u	あかしんごう	jmdict:1634690	everyday_vocabulary
japanese	a'ka'shi'n'go'u	赤信号	jmdict:1634690	everyday_vocabulary
japanese	a'ka'su	あかす	jmdict:1532220	everyday_vocabulary
japanese	a'ka'su	明かす	jmdict:1532220	everyday_vocabulary
japanese	a'ka'tsu'ki	あかつき	jmdict:1239280	everyday_vocabulary
japanese	a'ka'tsu'ki	暁	jmdict:1239280	everyday_vocabulary
japanese	a'ka'zu'ki'n	あかずきん	jmnedict:5455800	taiwan_and_culture
japanese	a'ka'zu'ki'n	あかずきん	jmnedict:5456860	taiwan_and_culture
japanese	a'ka'zu'ki'n	赤ずきん	jmnedict:5455800	taiwan_and_culture
japanese	a'ka'zu'ki'n	赤頭巾	jmnedict:5456860	taiwan_and_culture
japanese	a'ke	あけ	jmdict:1328470	everyday_vocabulary
japanese	a'ke	朱	jmdict:1328470	everyday_vocabulary
japanese	a'ke'bo'no	あけぼの	jmdict:1343530	everyday_vocabulary
japanese	a'ke'bo'no	曙	jmdict:1343530	everyday_vocabulary
japanese	a'ke'ga'ta	あけがた	jmdict:1532300	everyday_vocabulary
japanese	a'ke'ga'ta	明け方	jmdict:1532300	everyday_vocabulary
japanese	a'ke'ku're	あけくれ	jmdict:1674680	everyday_vocabulary
japanese	a'ke'ku're	明け暮れ	jmdict:1674680	everyday_vocabulary
japanese	a'ke'ma'shi'te'o'me'de'to'u'go'za'i'ma'su	あけましておめでとうございます	jmdict:1532270	everyday_expressions
japanese	a'ke'ru	あける	jmdict:1202450	everyday_vocabulary
japanese	a'ke'ru	明ける	jmdict:1202450	everyday_vocabulary
japanese	a'ke'ru	空ける	jmdict:1202450	everyday_vocabulary
japanese	a'ke'ru	開ける	jmdict:1202450	everyday_vocabulary
japanese	a'ki	あき	jmdict:1332650	everyday_vocabulary
japanese	a'ki	あき	jmdict:1609010	everyday_vocabulary
japanese	a'ki	あき	jmdict:1609020	everyday_vocabulary
japanese	a'ki	あき	jmdict:1629210	everyday_vocabulary
japanese	a'ki	安芸	jmdict:1629210	everyday_vocabulary
japanese	a'ki	秋	jmdict:1332650	everyday_vocabulary
japanese	a'ki	空き	jmdict:1609010	everyday_vocabulary
japanese	a'ki	飽き	jmdict:1609020	everyday_vocabulary
japanese	a'ki'ba're	あきばれ	jmdict:1586230	everyday_vocabulary
japanese	a'ki'ba're	秋晴れ	jmdict:1586230	everyday_vocabulary
japanese	a'ki'chi	あきち	jmdict:1245340	everyday_vocabulary
japanese	a'ki'chi	空き地	jmdict:1245340	everyday_vocabulary
japanese	a'ki'gu'chi	あきぐち	jmdict:1332690	everyday_vocabulary
japanese	a'ki'gu'chi	秋口	jmdict:1332690	everyday_vocabulary
japanese	a'ki'ha'gi'jo'u	あきはぎじょう	jmnedict:5741213	taiwan_and_culture
japanese	a'ki'ha'gi'jo'u	秋萩帖	jmnedict:5741213	taiwan_and_culture
japanese	a'ki'ka'n	あきかん	jmdict:1245320	everyday_vocabulary
japanese	a'ki'ka'n	空き缶	jmdict:1245320	everyday_vocabulary
japanese	a'ki'ka'ze	あきかぜ	jmdict:1332720	everyday_vocabulary
japanese	a'ki'ka'ze	秋風	jmdict:1332720	everyday_vocabulary
japanese	a'ki'na'i	あきない	jmdict:1346580	everyday_vocabulary
japanese	a'ki'na'i	商い	jmdict:1346580	everyday_vocabulary
japanese	a'ki'ra'ka	あきらか	jmdict:1532310	everyday_vocabulary
japanese	a'ki'ra'ka	明らか	jmdict:1532310	everyday_vocabulary
japanese	a'ki'ra'me'ru	あきらめる	jmdict:1436730	everyday_vocabulary
japanese	a'ki'ra'me'ru	諦める	jmdict:1436730	everyday_vocabulary
japanese	a'ki're'ru	あきれる	jmdict:1515580	everyday_vocabulary
japanese	a'ki're'ru	呆れる	jmdict:1515580	everyday_vocabulary
japanese	a'ki're'su'ke'n	アキレスけん	jmdict:1015090	everyday_vocabulary
japanese	a'ki're'su'ke'n	アキレス腱	jmdict:1015090	everyday_vocabulary
japanese	a'ki'ru	あきる	jmdict:1586250	everyday_vocabulary
japanese	a'ki'ru	飽きる	jmdict:1586250	everyday_vocabulary
japanese	a'ki'su	あきす	jmdict:1586220	everyday_vocabulary
japanese	a'ki'su	空き巣	jmdict:1586220	everyday_vocabulary
japanese	a'ki'tsu'o'n'se'n	あきつおんせん	jmnedict:5747307	taiwan_and_culture
japanese	a'ki'tsu'o'n'se'n	秋津温泉	jmnedict:5747307	taiwan_and_culture
japanese	a'ki'ya	あきや	jmdict:1675850	everyday_vocabulary
japanese	a'ki'ya	空き家	jmdict:1675850	everyday_vocabulary
japanese	a'kka	あっか	jmdict:1151470	everyday_vocabulary
japanese	a'kka	悪化	jmdict:1151470	everyday_vocabulary
japanese	a'kka'n	あっかん	jmdict:1152990	everyday_vocabulary
japanese	a'kka'n	圧巻	jmdict:1152990	everyday_vocabulary
japanese	a'kke	あっけ	jmdict:1515590	everyday_vocabulary
japanese	a'kke	呆気	jmdict:1515590	everyday_vocabulary
japanese	a'kko'u	あっこう	jmdict:2862924	everyday_vocabulary
japanese	a'kko'u	悪口	jmdict:2862924	everyday_vocabulary
japanese	a'ko'ga're	あこがれ	jmdict:1453800	everyday_vocabulary
japanese	a'ko'ga're	憧れ	jmdict:1453800	everyday_vocabulary
japanese	a'ko'ga're'no'ma'to	あこがれのまと	jmdict:2228920	everyday_expressions
japanese	a'ko'ga're'no'ma'to	憧れの的	jmdict:2228920	everyday_expressions
japanese	a'ko'ga're'ru	あこがれる	jmdict:1453810	everyday_vocabulary
japanese	a'ko'ga're'ru	憧れる	jmdict:1453810	everyday_vocabulary
japanese	a'ko'o'de'i'o'n	アコーディオン	jmdict:1015630	everyday_vocabulary
japanese	a'ko'o'do	アコード	jmdict:1015660	everyday_vocabulary
japanese	a'ko'o'su'te'i'kku	アコースティック	jmdict:1015100	everyday_vocabulary
japanese	a'ku	あく	jmdict:1151230	everyday_vocabulary
japanese	a'ku	あく	jmdict:1586270	everyday_vocabulary
japanese	a'ku	悪	jmdict:1151230	everyday_vocabulary
japanese	a'ku	空く	jmdict:1586270	everyday_vocabulary
japanese	a'ku	開く	jmdict:1586270	everyday_vocabulary
japanese	a'ku'bi	あくび	jmdict:1254010	everyday_vocabulary
japanese	a'ku'bi	欠伸	jmdict:1254010	everyday_vocabulary
japanese	a'ku'e'i'kyo'u	あくえいきょう	jmdict:1151440	everyday_vocabulary
japanese	a'ku'e'i'kyo'u	悪影響	jmdict:1151440	everyday_vocabulary
japanese	a'ku'i	あくい	jmdict:1151390	everyday_vocabulary
japanese	a'ku'i	悪意	jmdict:1151390	everyday_vocabulary
japanese	a'ku'ji	あくじ	jmdict:1151800	everyday_vocabulary
japanese	a'ku'ji	悪事	jmdict:1151800	everyday_vocabulary
