xi	ㄒㄧˋ	㒆	0.0	ㄒㄧˋ
she	ㄕㄜˋ	㒆	0.0	ㄕㄜˋ
si	ㄙ	㒋	0.0	ㄙˉ
lei	ㄌㄟˇ	㒍	0.0	ㄌㄟˇ
hui	ㄏㄨㄟˋ	㒑	0.0	ㄏㄨㄟˋ
ta	ㄊㄚˋ	㒓	0.0	ㄊㄚˋ
du	ㄉㄨˊ	㒔	0.0	ㄉㄨˊ
tu	ㄊㄨˇ	㒔	0.0	ㄊㄨˇ
shu	ㄕㄨˇ	㒔	0.0	ㄕㄨˇ
yang	ㄧㄤ	㒕	0.0	ㄧㄤˉ
ou	ㄡˇ	㒖	0.0	ㄡˇ
tai	ㄊㄞˊ	㒗	0.0	ㄊㄞˊ
mian	ㄇㄧㄢˊ	㒙	0.0	ㄇㄧㄢˊ
jun	ㄐㄩㄣˋ	㒞	0.0	ㄐㄩㄣˋ
zun	ㄗㄨㄣˋ	㒞	0.0	ㄗㄨㄣˋ
xie	ㄒㄧㄝˋ	㒠	0.0	ㄒㄧㄝˋ
feng	ㄈㄥ	㒥	0.0	ㄈㄥˉ
lei	ㄌㄟˇ	㒦	0.0	ㄌㄟˇ
lei	ㄌㄟˋ	㒦	0.0	ㄌㄟˋ
li	ㄌㄧˋ	㒧	0.0	ㄌㄧˋ
ji	ㄐㄧˋ	㒫	0.0	ㄐㄧˋ
wang	ㄨㄤ	㒬	0.0	ㄨㄤˉ
kun	ㄎㄨㄣ	㒭	0.0	ㄎㄨㄣˉ
hua	ㄏㄨㄚˊ	㒯	0.0	ㄏㄨㄚˊ
ye	ㄧㄝˋ	㒯	0.0	ㄧㄝˋ
xing	ㄒㄧㄥ	㒷	0.0	ㄒㄧㄥˉ
xing	ㄒㄧㄥˋ	㒷	0.0	ㄒㄧㄥˋ
wang	ㄨㄤˇ	㒺	0.0	ㄨㄤˇ
mo	ㄇㄛˋ	㒻	0.0	ㄇㄛˋ
mao	ㄇㄠˋ	㒻	0.0	ㄇㄠˋ
meng	ㄇㄥˊ	㒻	0.0	ㄇㄥˊ
man	ㄇㄢˊ	㒼	0.0	ㄇㄢˊ
quan	ㄑㄩㄢ	㒽	0.0	ㄑㄩㄢˉ
li	ㄌㄧˊ	㒿	0.0	ㄌㄧˊ
kou	ㄎㄡˋ	㓂	0.0	ㄎㄡˋ
chen	ㄔㄣˋ	㓄	0.0	ㄔㄣˋ
ting	ㄊㄧㄥ	㓅	0.0	ㄊㄧㄥˉ
wu	ㄨˋ	㓇	0.0	ㄨˋ
wo	ㄨㄛˋ	㓇	0.0	ㄨㄛˋ
bing	ㄅㄧㄥˋ	㓈	0.0	ㄅㄧㄥˋ
huo	ㄏㄨㄛˋ	㓉	0.0	ㄏㄨㄛˋ
dong	ㄉㄨㄥˋ	㓊	0.0	ㄉㄨㄥˋ
gong	ㄍㄨㄥˋ	㓋	0.0	ㄍㄨㄥˋ
xing	ㄒㄧㄥˋ	㓑	0.0	ㄒㄧㄥˋ
nan	ㄋㄢˊ	㓓	0.0	ㄋㄢˊ
mie	ㄇㄧㄝˋ	㓕	0.0	ㄇㄧㄝˋ
gong	ㄍㄨㄥ	㓚	0.0	ㄍㄨㄥˉ
gong	ㄍㄨㄥ	㓛	0.0	ㄍㄨㄥˉ
you	ㄧㄡˋ	㓜	0.0	ㄧㄡˋ
xing	ㄒㄧㄥˊ	㓝	0.0	ㄒㄧㄥˊ
chuang	ㄔㄨㄤ	㓝	0.0	ㄔㄨㄤˉ
chuang	ㄔㄨㄤˋ	㓝	0.0	ㄔㄨㄤˋ
pi	ㄆㄧˊ	㓟	0.0	ㄆㄧˊ
dian	ㄉㄧㄢˇ	㓠	0.0	ㄉㄧㄢˇ
dian	ㄉㄧㄢˋ	㓠	0.0	ㄉㄧㄢˋ
ge	ㄍㄜ	㓣	0.0	ㄍㄜˉ
qia	ㄑㄧㄚˋ	㓣	0.0	ㄑㄧㄚˋ
qia	ㄑㄧㄚˋ	㓤	0.0	ㄑㄧㄚˋ
ci	ㄘˋ	㓨	0.0	ㄘˋ
ku	ㄎㄨ	㓬	0.0	ㄎㄨˉ
li	ㄌㄧˇ	㓯	0.0	ㄌㄧˇ
li	ㄌㄧˊ	㓯	0.0	ㄌㄧˊ
di	ㄉㄧ	㓳	0.0	ㄉㄧˉ
ruan	ㄖㄨㄢˇ	㓴	0.0	ㄖㄨㄢˇ
e	ㄜˋ	㓵	0.0	ㄜˋ
pi	ㄆㄧ	㓻	0.0	ㄆㄧˉ
gang	ㄍㄤ	㓻	0.0	ㄍㄤˉ
gang	ㄍㄤˇ	㓻	0.0	ㄍㄤˇ
qi	ㄑㄧˊ	㓾	0.0	ㄑㄧˊ
xi	ㄒㄧ	㓾	0.0	ㄒㄧˉ
liang	ㄌㄧㄤˋ	㔀	0.0	ㄌㄧㄤˋ
deng	ㄉㄥ	㔁	0.0	ㄉㄥˉ
lin	ㄌㄧㄣˊ	㔂	0.0	ㄌㄧㄣˊ
xiao	ㄒㄧㄠˋ	㔅	0.0	ㄒㄧㄠˋ
zan	ㄗㄢˋ	㔆	0.0	ㄗㄢˋ
po	ㄆㄛ	㔇	0.0	ㄆㄛˉ
dan	ㄉㄢˇ	㔊	0.0	ㄉㄢˇ
zhan	ㄓㄢˇ	㔊	0.0	ㄓㄢˇ
chua	ㄔㄨㄚ	㔍	0.0	ㄔㄨㄚˉ
xue	ㄒㄩㄝ	㔎	0.0	ㄒㄩㄝˉ
li	ㄌㄧˋ	㔏	0.0	ㄌㄧˋ
qian	ㄑㄧㄢ	㔐	0.0	ㄑㄧㄢˉ
jian	ㄐㄧㄢˇ	㔓	0.0	ㄐㄧㄢˇ
bei	ㄅㄟˋ	㔗	0.0	ㄅㄟˋ
fei	ㄈㄟˋ	㔗	0.0	ㄈㄟˋ
zhuo	ㄓㄨㄛˊ	㔘	0.0	ㄓㄨㄛˊ
chu	ㄔㄨˋ	㔘	0.0	ㄔㄨˋ
beng	ㄅㄥ	㔙	0.0	ㄅㄥˉ
kou	ㄎㄡˇ	㔚	0.0	ㄎㄡˇ
bo	ㄅㄛˊ	㔜	0.0	ㄅㄛˊ
lei	ㄌㄟˊ	㔣	0.0	ㄌㄟˊ
lei	ㄌㄟˋ	㔣	0.0	ㄌㄟˋ
xin	ㄒㄧㄣˋ	㔤	0.0	ㄒㄧㄣˋ
e	ㄜˋ	㔩	0.0	ㄜˋ
lu	ㄌㄨˇ	㔪	0.0	ㄌㄨˇ
yu	ㄩˇ	㔱	0.0	ㄩˇ
gui	ㄍㄨㄟˇ	㔲	0.0	ㄍㄨㄟˇ
yi	ㄧˋ	㔴	0.0	ㄧˋ
le	ㄌㄜˋ	㔹	0.0	ㄌㄜˋ
sun	ㄙㄨㄣˇ	㔼	0.0	ㄙㄨㄣˇ
